Sensitivity,Method,Year,Records
Just email address/Online information,hacked,2011,0.2
Credit card information,hacked,2011,0.2
Just email address/Online information,hacked,2011,3
Full bank account details,hacked,2011,0.2
SSN/Personal details,hacked,2011,0.3
SSN/Personal details,hacked,2011,0.3
Credit card information,hacked,2011,0.4
Credit card information,hacked,2011,0.9
Just email address/Online information,hacked,2011,1
SSN/Personal details,hacked,2011,1
SSN/Personal details,hacked,2011,1.3
SSN/Personal details,hacked,2011,1.3
Just email address/Online information,hacked,2011,6
Just email address/Online information,hacked,2011,10
SSN/Personal details,hacked,2011,13.2
Credit card information,hacked,2011,24.6
Just email address/Online information,hacked,2011,28
Credit card information,hacked,2011,35
Just email address/Online information,hacked,2011,77
SSN/Personal details,inside job,2011,2.5
Credit card information,lost / stolen device or media,2011,0.035
SSN/Personal details,lost / stolen device or media,2011,0.1
Email password/Health records,lost / stolen device or media,2011,0.4
Email password/Health records,lost / stolen device or media,2011,0.5
Email password/Health records,lost / stolen device or media,2011,1.1
Credit card information,lost / stolen device or media,2011,1.9
SSN/Personal details,lost / stolen device or media,2011,4.2
Email password/Health records,lost / stolen device or media,2011,4.9
Email password/Health records,lost / stolen device or media,2011,8.3
SSN/Personal details,poor security,2011,0.18
SSN/Personal details,accidentally published,2012,6.5
SSN/Personal details,accidentally published,2012,12.4
Just email address/Online information,hacked,2012,0.03
Just email address/Online information,hacked,2012,0.18
Just email address/Online information,hacked,2012,0.4
Just email address/Online information,hacked,2012,0.5
SSN/Personal details,hacked,2012,0.8
Credit card information,hacked,2012,1.5
Full bank account details,hacked,2012,3
Just email address/Online information,hacked,2012,8
Just email address/Online information,hacked,2012,8
SSN/Personal details,hacked,2012,8.7
SSN/Personal details,hacked,2012,9
SSN/Personal details,hacked,2012,14
SSN/Personal details,hacked,2012,24
Just email address/Online information,hacked,2012,43.5
Just email address/Online information,hacked,2012,68.7
Full bank account details,hacked,2012,160
Just email address/Online information,hacked,2012,117
Ninguna coincidencia,hacked,2012,3.6
Email password/Health records,inside job,2012,0.2
SSN/Personal details,inside job,2012,1.8
SSN/Personal details,inside job,2012,200
Email password/Health records,lost / stolen device or media,2012,0.3
SSN/Personal details,lost / stolen device or media,2012,0.8
Email password/Health records,hacked,2012,17.5
SSN/Personal details,accidentally published,2013,0.15
SSN/Personal details,accidentally published,2013,0.18
SSN/Personal details,accidentally published,2013,1.5
Just email address/Online information,accidentally published,2013,6
Credit card information,hacked,2013,0.1
SSN/Personal details,hacked,2013,0.13
SSN/Personal details,hacked,2013,0.16
SSN/Personal details,hacked,2013,0.25
Just email address/Online information,hacked,2013,0.3
SSN/Personal details,hacked,2013,0.5
Just email address/Online information,hacked,2013,0.5
Just email address/Online information,hacked,2013,1
Credit card information,hacked,2013,2
SSN/Personal details,hacked,2013,4
SSN/Personal details,hacked,2013,4.7
Just email address/Online information,hacked,2013,22
Full bank account details,hacked,2013,36
Just email address/Online information,hacked,2013,50
Just email address/Online information,hacked,2013,50
SSN/Personal details,hacked,2013,58
SSN/Personal details,hacked,2013,1000
Just email address/Online information,hacked,2013,65
Just email address/Online information,hacked ,2013,0.25
Full bank account details,inside job,2013,1.5
Credit card information,inside job,2013,1.7
Credit card information,inside job,2013,2
Email password/Health records,lost / stolen device or media,2013,0.1
SSN/Personal details,lost / stolen device or media,2013,0.1
SSN/Personal details,lost / stolen device or media,2013,0.1
SSN/Personal details,lost / stolen device or media,2013,4
SSN/Personal details,poor security,2013,0.15
Just email address/Online information,hacked,2014,0.5
Just email address/Online information,hacked,2014,0.6
SSN/Personal details,hacked,2014,0.8
Just email address/Online information,hacked,2014,0.9
Credit card information,hacked,2014,1
SSN/Personal details,hacked,2014,1.1
Credit card information,hacked,2014,1.2
Just email address/Online information,hacked,2014,4
Credit card information,hacked,2014,4
SSN/Personal details,hacked,2014,4.5
Just email address/Online information,hacked,2014,5
SSN/Personal details,hacked,2014,10
Just email address/Online information,hacked,2014,10
Just email address/Online information,hacked,2014,24
Credit card information,hacked,2014,56
Credit card information,hacked,2014,70
Credit card information,hacked,2014,76
Just email address/Online information,hacked,2014,145
SSN/Personal details,hacked,2014,500
Full bank account details,hacked,2014,2.7
Full bank account details,inside job,2014,20
Just email address/Online information,poor security,2014,0.052
SSN/Personal details,poor security,2014,0.8
Email password/Health records,hacked,2014,1.7
Just email address/Online information,hacked,2014,50
Full bank account details,accidentally published,2015,0.5
Full bank account details,hacked,2015,0.04
Just email address/Online information,hacked,2015,0.1
SSN/Personal details,hacked,2015,0.16
SSN/Personal details,hacked,2015,0.4
Just email address/Online information,hacked,2015,0.5
Full bank account details,hacked,2015,0.5
Just email address/Online information,hacked,2015,0.5
Just email address/Online information,hacked,2015,1.1
Full bank account details,hacked,2015,2.7
Just email address/Online information,hacked,2015,3.9
SSN/Personal details,hacked,2015,4
Full bank account details,hacked,2015,6.4
Full bank account details,hacked,2015,11
Just email address/Online information,hacked,2015,13
Credit card information,hacked,2015,15
Full bank account details,hacked,2015,21.5
Just email address/Online information,hacked,2015,37
Full bank account details,hacked,2015,70
Just email address/Online information,poor security,2015,0.05
SSN/Personal details,poor security,2015,3.3
SSN/Personal details,poor security,2015,198
Email password/Health records,poor security,2015,0.3
SSN/Personal details,accidentally published,2016,0.519396
Just email address/Online information,hacked,2016,0.274477
Just email address/Online information,hacked,2016,7
Full bank account details,hacked,2016,11.5
SSN/Personal details,hacked,2016,25
Email password/Health records,hacked,2016,40
SSN/Personal details,hacked,2016,49.611709
Full bank account details,hacked,2016,55
SSN/Personal details,hacked,2016,80
Email password/Health records,hacked,2016,100.544934
Credit card information,hacked,2016,0.001025
Just email address/Online information,hacked,2016,164
Just email address/Online information,hacked,2016,2
Just email address/Online information,hacked,2016,0.035
Credit card information,hacked,2016,3.7
Full bank account details,inside job,2016,0.112
Credit card information,poor security,2016,2.2
Just email address/Online information,hacked,2016,57
Email password/Health records,accidentally published,2017,0.55
SSN/Personal details,accidentally published,2017,700
Email password/Health records,hacked,2017,0.034
SSN/Personal details,hacked,2017,0.2
Full bank account details,hacked,2017,0.27
Just email address/Online information,hacked,2017,0.3
Email password/Health records,hacked,2017,0.7
Email password/Health records,hacked,2017,0.790724
Just email address/Online information,hacked,2017,1.7
Just email address/Online information,hacked,2017,1.9
SSN/Personal details,hacked,2017,3
SSN/Personal details,hacked,2017,5
Full bank account details,hacked,2017,6.6
Just email address/Online information,hacked,2017,9.5
SSN/Personal details,hacked,2017,10
Email password/Health records,hacked,2017,17
Email password/Health records,hacked,2017,32
Email password/Health records,hacked,2017,43
Just email address/Online information,hacked,2017,85.2
Just email address/Online information,hacked,2017,412
Just email address/Online information,hacked,2017,15
SSN/Personal details,lost / stolen device or media,2017,3.7
Just email address/Online information,hacked,2017,92.283889
Just email address/Online information,hacked,2017,10
Credit card information,accidentally published,2017,1000
Credit card information,accidentally published,2017,2
Just email address/Online information,hacked,2017,6
Full bank account details,hacked,2017,143
Email password/Health records,hacked,2017,1.5
Email password/Health records,hacked,2017,1.5
Credit card information,poor security,2017,1
Full bank account details,poor security,2017,3
Email password/Health records,poor security,2017,711
Email password/Health records,poor security,2017,0.54
Email password/Health records,hacked,2017,3
Email password/Health records,hacked,2017,1.6
Email password/Health records,poor security,2017,31
Email password/Health records,hacked,2017,46.2
Email password/Health records,hacked,2017,0.081309
Email password/Health records,poor security,2018,1.3
Credit card information,hacked,2018,0.88
Email password/Health records,poor security,2018,1100
Credit card information,hacked,2018,5
SSN/Personal details,poor security,2018,37
Just email address/Online information,hacked,2018,150
Just email address/Online information,poor security,2018,330
Email password/Health records,accidentally published,2018,0.934
Full bank account details,poor security,2018,100
Credit card information,hacked,2018,0.04
Just email address/Online information,poor security,2018,120
SSN/Personal details,hacked,2018,14
SSN/Personal details,poor security,2018,14.8
Just email address/Online information,hacked,2018,2
Email password/Health records,hacked,2018,0.38
Credit card information,hacked,2018,45
Credit card information,poor security,2018,3
Email password/Health records,hacked,2018,3
SSN/Personal details,hacked,2018,27
SSN/Personal details,poor security,2018,48
SSN/Personal details,hacked,2018,2200
